name,type,lat,lon
KALINIORO [2ème C].,school,15.3583336,-11.7504622
KEMALA [1er C],school,15.18,-10.73
KIDENDJI,school,15.36151,-10.42453
KIRANE [1er C]ycle,school,15.4111,-10.2232833
KIRANE [1er C] B,school,15.4111,-10.2232833
KIRANE [1er C]ycle C,school,15.4111,-10.2232833
KIRANE [2ème C],school,15.4111,-10.2232833
KOMEOULOU,school,15.0947625,-10.8111331
KOROMPO,school,15.3268,-10.2209167
KOTERA [1er C],school,14.7593422,-12.1777828
KREMIS [1er C],school,15.3515903,-10.3463363
SALAHI WANADIAHI,school,14.6233333,-12.1481833
SAMBAGA,school,15.0918167,-10.8008333
SAMBAGA [2ème C],school,15.0918303,-10.8008346
Sangalou,school,14.7194371,-12.2060705
SARAYERO,school,14.9352667,-11.7144167
École de Sélifély,school,15.4775482,-11.7135579
École sécondaire de Sélifély,school,15.4779102,-11.7132257
SENEWALY DIALLOUBE,school,15.3609,-10.42577
SENEWALY SONIKE,school,15.3339338,-10.421804
École de Séoundé,school,15.5079383,-11.5124873
SERENATY,school,14.9177667,-11.7284833
SERENATY [2ème C],school,14.9177667,-11.7284833
SOLAHI WANANDJAHI FEGUI,school,14.6233333,-12.1481833
SOUENA GANDEGA,school,15.1855167,-11.7521
SOUENA SOUMARE,school,15.1871167,-11.7841
BALLE [2ème C],school,15.3379065,-8.5887338
BINEOU NIAKATE,school,15.4497975,-8.8974292
BINEOU NIAKATE [2ème C],school,15.4497975,-8.8974292
BIROU NIAKATE,school,15.4649091,-8.0718184
BOUARE TOUGOUNE,school,15.441708,-8.6889518
DIAKOYA,school,15.3438771,-7.1454049
DIALLOUBE,school,15.2968955,-7.1840233
DIALLOUBE,school,15.2968955,-7.1840233
DIGUIGNAN,school,15.2710819,-8.5232128
DIOKA,school,15.3174734,-8.4340186
ECOM de TOGOMIATT,school,15.3699833,-7.0505333
École primaire de Guirel,school,15.4491699,-7.1061695
TACOUTALLA,school,15.4207867,-8.1141651
ZIDOU TOURE,school,15.383,-7.2249167
BABA DJAGAOUROU GANI(DIARRA),school,15.3188121,-9.3213266
BANNA,school,15.439988,-9.2768494
DIANDIOUME,school,15.3970149,-9.3694613
HAMAKE I,school,15.44645,-9.7716
TOUROUROU MEDERSA,school,15.4329093,-9.3214827
AGHALY AG BABACAR,school,20.0189823,2.2597051
NAFADJI,school,15.5573267,-9.2342771
Niamy,school,15.338398,-9.3067454
Siradjou El-Mounir,school,12.5805221,-8.0081873
source du savoir,school,12.5837351,-8.0082131
TEREMESSO,school,13.0017648,-5.4784367
KONONA,school,13.000813,-5.4711465
ALTINE SISSOKO,school,12.6890333,-7.9592667
BANCONI FARADA,school,12.68835,-7.9684833
BERCEAU DU SAVOIR,school,12.68796,-7.96856
COURS École privéeS BITON MAMARI COULIBALY,school,12.6881228,-7.9688431
FAGUIMBA KAMISSOKO,school,12.6819333,-7.97125
FAGUIMBA KAMISSOKO,school,12.6819333,-7.97125
LE BELEDOUGOU,school,12.6835151,-7.9659096
LE BELEDOUGOU,school,12.683409,-7.9660235
RACHAD [1er C],school,12.6823833,-7.9631667
SAAD ZIWAZA [1er C],school,12.6862333,-7.9622167
SAAD ZIWAZA [2ème C],school,12.6865602,-7.9622352
BIDADJI,school,15.1942167,-10.6968833
BILADJIMI,school,15.2142,-10.6536333
BOUGOUDIRE [1er C].,school,15.4415376,-10.0541845
DIELIBOUGOU [2ème C] II,school,12.6674116,-7.9411288
SIRIDO BABA,school,12.69035,-7.9621833
SOMA NIAKATE,school,12.6813667,-7.9738167
SOUNDIATA,school,12.68305,-7.9593167
THIERNO I [1er C],school,12.6882382,-7.964511
THIERNO I [2ème C],school,12.6883423,-7.9645902
ZOUMANA DIALLO,school,12.68339,-7.95655
DIELIBOUGOU D,school,12.667277,-7.9408779
LES ETOILES [1er C],school,12.6685369,-7.93652
LES ETOILES [2ème C],school,12.66856,-7.93652
DABOLA,school,12.5952667,-8.0034167
RAVIN [2ème C],school,12.5922485,-8.0041992
SABALIBOUGOU F,school,12.59342,-7.99393
DABOLA,school,12.5952747,-8.0032219
RAVIN [1er C],school,12.59227,-8.0042
SABALIBOUGOU C,school,12.59342,-7.99393
SABALIBOUGOU II,school,12.59342,-7.99393
SABALIBOUGOU IV,school,12.59342,-7.99393
SABALIBOUGOU V,school,12.59342,-7.99393
TATA [2ème C],school,12.5913858,-7.99831
Ecole privée Dabi Tieni,school,12.5761,-8.06642
École primaire de Sitacounadi,school,14.8366667,-11.1104167
Ecole Privée Fraternité,school,12.6125564,-7.9597708
École privée FaFa Togora,school,12.5986349,-7.9272485
"École privée fondamentale et Maternelle ""SUMPU",school,12.594437,-7.9258906
Complexe Scolaire Privé Moussa Kané Jardin d'enfants Et 1er Cycle,school,12.600994,-7.9199757
École Privée Les Flamboyants,school,12.6076107,-7.9113425
FARANDJIREYE B,school,16.29,-0.0460013
LPS (Lycée Privé de Sanzana),school,11.7466776,-5.9507363
Lycée l'anonciation,school,13.2653354,-4.8879515
Ecole primaire koungoli,school,14.6123473,-3.3524942
École privée Alikaou Blen,school,12.5892319,-7.9608291
Tati Diarra,school,12.6009,-8.05717
Ecole fondamentale de plateau premier cycle public,school,14.4382619,-11.4348178
Ecole Fondamentale 2è Cycle de Yaguiné,school,15.1311828,-10.7256818
DIANGUINEBOUGOU (MEGUETAN),school,12.9776873,-7.39431
Groupe Fondamental Plateau II,school,12.949814,-7.5689397
Complexe Scolaire ECOSA,school,12.6398249,-8.0394821
Aminata Diop 6,school,12.6304836,-8.0470333
BAMBAGUEDE,school,15.3132872,-9.1977455
Jardin d'enfants Khartoum Bariya,school,12.5817003,-8.0015516
Lycée Mamadou Lamine Haidara,school,13.4229824,-6.2485948
Ecole primaire singama,school,14.3737202,-3.5724205
Ecole primaire Nandoli,school,14.4991256,-3.4662178
École privée Alikaou Blen 1er cycle,school,12.5871814,-7.9639769
Ecole primaire,school,13.165236,-6.5209082
École primaire de Zana,school,13.1718915,-6.7400083
Franco-arabe de Sabalibougou,school,12.588665,-8.0033665
Sada Oumar Touré,school,12.5861416,-8.0159197
Groupe scolaire Falaba Issa Traoré,school,12.635088,-8.0405169
DIELIBOUGOU [2ème C] III,school,12.6671334,-7.9415598
Groupe scolaire Sambaly Keita de Niafala Second Cycle,school,13.0387147,-9.5011461
Ecole Communautaire Soudjata de Makandiambougou,school,13.0421698,-9.4939611
Lycée Privée Ousmane Touré,college,12.5243413,-8.0070256
CAA SAMANKO,college,12.5374461,-8.0837589
TALATAYE,school,16.28,1.2094297
Ecole Privée Sylvie Bouchard,school,13.0317031,-9.4808424
Unnamed School,school,15.091656,-2.2184819
Ecole,school,16.7126579,-0.2620786
Unnamed School,school,17.036347,-1.571594
Unnamed School,school,15.2310285,-1.8067412
Lycée Yana Maïga de Gao,school,16.2727182,-0.047003
Merdesa Franco Arabe,school,13.0375192,-9.4864395
Ecole CEC,school,16.2784817,-0.0377306
DOUGOURADJI,school,16.18,-3.407
DANGHA [1er C],school,16.4640539,-3.132751
École primaire,school,16.293754,-0.0402955
TOYA,school,16.6568052,-3.0475785
Ecole primaire de Kimba,school,12.8695643,-4.1453192
Ecole primaire de Lanfièra,school,12.8372168,-4.1801262
Ecole primaire de Mondé-Bani,school,14.2017989,-2.5551729
2eme Cycle,school,11.1211913,-5.3645656
Unnamed School,school,11.9513761,-5.0446129
Doro,school,16.1116444,-0.862809
Unnamed School,school,16.2131181,-0.5125929
WANIAN [1er C],school,12.9504461,-4.2379993
IFM Hégir,college,16.7547575,-3.0048155
WAKORO YANGASSO,school,13.0966311,-5.2701863
ZEMESSO,school,13.1751968,-5.1882256
École Fondamentale Sonosso,school,13.1105062,-5.1892212
Centre d'Alphabetisation,school,15.1327506,-10.7241315
MEDERSA ANCARDINE DJENNEDAGA [2ème C],school,14.5355306,-4.0950232
MARENA DIOMBOUGOU [2ème C],school,14.5655333,-11.0479
MARENA TRINGA [2ème C],school,14.6467667,-10.7514
MARENA-DIOMBOUGOU,school,14.5655333,-11.0479
Ecole fondamentale de Tringa-Marena,school,14.6472743,-10.7475524
MARILA,school,14.6176474,-10.866239
MARINTOUMANIA,school,14.58325,-10.8655667
MARINTOUMANIA [2ème C],school,14.58325,-10.8655667
MED. ABOUR WATLI ISLAMIYA-TAKOUTALA,school,14.5759833,-11.6726
MOGOYAFARA,school,14.5657833,-11.1031667
MOHAMED BEN ABDEL WAHAB : LAMBATRA ([2ème C]),school,14.6448167,-10.6977667
MOHAMED BEN ABDEL WAHAB: LAMBATRA ([1er C]),school,14.6448167,-10.6977667
MOULINE,school,14.5333333,-10.9488333
MOULINE [2ème C],school,14.5333333,-10.9488333
MOUSSALA [1er C],school,14.5709786,-11.7171536
NAYELA,school,14.68285,-11.0580333
NIAMIGA [2ème C],school,14.5128167,-11.1706833
NIAMIGA P.C,school,14.5128167,-11.1706833
NOUR EL ISLAM DIAKONE,school,14.6254,-10.7308167
NOUROUL ABSOR BOGORO,school,14.6693333,-11.7350833
OUSSOUBIDIANIA,school,14.5550333,-10.8761167
SABOUCIRE MADIGATA,school,14.7134833,-10.9098833
SABOUCIRE SAMBALLA,school,14.5405,-11.098
SABOUCIRE SAMBALLA [2ème C],school,14.5405,-11.098
