id,relid,year,active_year,code_status,type_of_violence,conflict_dset_id,conflict_new_id,conflict_name,dyad_dset_id,dyad_new_id,dyad_name,side_a_dset_id,side_a_new_id,side_a,side_b_dset_id,side_b_new_id,side_b,number_of_sources,source_article,source_office,source_date,source_headline,source_original,where_prec,where_coordinates,where_description,adm_1,adm_2,latitude,longitude,geom_wkt,priogrid_gid,country,country_id,region,event_clarity,date_prec,date_start,date_end,deaths_a,deaths_b,deaths_civilians,deaths_unknown,best,high,low,gwnoa,gwnob
482771,MLI-2023-1-15108-100.2,2023,true,Clear,1,11347,11347,Mali: Government,15108,15108,Government of Mali - JNIM,72,72,Government of Mali,6716,6716,JNIM,1,"""Larmes des pauvres,2023-07-20,Tweet""",Larmes des pauvres,2023-07-20,Tweet,The General Staff of the Armed Forces,1,Dani-Saré village,"villages of Bima and Sani-Saré, not far from Konna",Mopti region,Bandiagara cercle,14.834648,-3.806643,POINT (-3.806643 14.834648),150833,Mali,432,Africa,1,1,2023-07-17 00:00:00.000,2023-07-17 00:00:00.000,0,0,0,0,0,1,0,432,
482789,MLI-2023-1-15108-101,2023,true,Clear,1,11347,11347,Mali: Government,15108,15108,Government of Mali - JNIM,72,72,Government of Mali,6716,6716,JNIM,1,"""Larmes des pauvres,2023-07-22,Tweet""",Larmes des pauvres,2023-07-22,Tweet,,1,Gossi town,"Mali, Timbuktu, G_Rharous, Gossi",Tombouctou region,Gourma-Rharous cercle,15.819607,-1.291135,POINT (-1.291135 15.819607),152278,Mali,432,Africa,1,1,2023-07-21 00:00:00.000,2023-07-21 00:00:00.000,1,0,0,0,1,1,1,432,
482810,MLI-2023-1-15108-102,2023,true,Clear,1,11347,11347,Mali: Government,15108,15108,Government of Mali - JNIM,72,72,Government of Mali,6716,6716,JNIM,5,"""Larmes des pauvres,2023-07-24,Tweet"";""Larmes des pauvres,2023-07-24,Tweet"";""Wassim Nasr,2023-07-26,Tweet"";""Wassim Nasr,2023-07-24,Tweet"";""BBC Monitoring Africa,2023-08-04,Al-Qaeda in Mali releases images of suicide bombers""",Larmes des pauvres;Larmes des pauvres;Wassim Nasr;Wassim Nasr;BBC Monitoring Africa,2023-07-24;2023-07-24;2023-07-26;2023-07-24;2023-08-04,Tweet;Tweet;Tweet;Tweet;Al-Qaeda in Mali releases images of suicide bombers,The General Staff of the Armed Forces,1,Molodo village,#Russian right of way in #Molodo in the circle of #Niono,Segou region,Niono cercle,14.237190,-6.022690,POINT (-6.02269 14.23719),150108,Mali,432,Africa,1,1,2023-07-24 00:00:00.000,2023-07-24 00:00:00.000,1,3,0,0,4,4,4,432,
482947,MLI-2023-1-15108-106,2023,true,Clear,1,11347,11347,Mali: Government,15108,15108,Government of Mali - JNIM,72,72,Government of Mali,6716,6716,JNIM,5,"""Wamaps,2023-07-27,Tweet"";""Wamaps,2023-07-28,Tweet"";""Wassim Nasr,2023-07-26,Tweet"";""Wassim Nasr,2023-07-26,Tweet"";""Walid Le Berbère,2023-07-27,Tweet""",Wamaps;Wamaps;Wassim Nasr;Wassim Nasr;Walid Le Berbère,2023-07-27;2023-07-28;2023-07-26;2023-07-26;2023-07-27,Tweet;Tweet;Tweet;Tweet;Tweet,,1,Kouakourou village,#FAMa camp and the city of #Kouakourou,Mopti region,Djenné cercle,14.222300,-4.495930,POINT (-4.49593 14.2223),150112,Mali,432,Africa,1,1,2023-07-25 00:00:00.000,2023-07-25 00:00:00.000,10,0,3,0,13,43,13,432,
482811,MLI-2023-1-15108-103,2023,true,Clear,1,11347,11347,Mali: Government,15108,15108,Government of Mali - JNIM,72,72,Government of Mali,6716,6716,JNIM,2,"""Wassim Nasr,2023-08-01,Tweet"";""Africa Research Bulletin Volume 60 Number 7 July 1st – July 31st 2023,2023-08-15,Militant Attacks:""",Wassim Nasr;Africa Research Bulletin Volume 60 Number 7 July 1st – July 31st 2023,2023-08-01;2023-08-15,Tweet;Militant Attacks:,JNIM,1,Tombouctou town,The center of Timbuktu,Tombouctou region,Tombouctou cercle,16.770456,-3.005588,POINT (-3.005588 16.770456),153714,Mali,432,Africa,1,1,2023-07-26 00:00:00.000,2023-07-26 00:00:00.000,2,0,0,0,2,4,2,432,
483063,MLI-2023-1-15108-108,2023,true,Clear,1,11347,11347,Mali: Government,15108,15108,Government of Mali - JNIM,72,72,Government of Mali,6716,6716,JNIM,2,"""Walid Le Berbère,2023-07-27,Tweet"";""Walid Le Berbère,2023-07-27,Tweet""",Walid Le Berbère;Walid Le Berbère,2023-07-27;2023-07-27,Tweet;Tweet,,1,Lere town,city of #Léré (Niafunké),Tombouctou region,Niafunke cercle,15.711800,-4.911800,POINT (-4.9118 15.7118),152271,Mali,432,Africa,1,1,2023-07-27 00:00:00.000,2023-07-27 00:00:00.000,1,2,0,0,3,3,3,432,
484394,MLI-2023-1-15108-119,2023,true,Clear,1,11347,11347,Mali: Government,15108,15108,Government of Mali - JNIM,72,72,Government of Mali,6716,6716,JNIM,1,"""Agence France Presse,2023-07-29,Mali army says one soldier dead in attack""",Agence France Presse,2023-07-29,Mali army says one soldier dead in attack,armed forces and local officials,5,Between Guire and Nara,between the towns of Nara and Guire,Koulikoro region,Nara cercle,14.916473,-6.979667,POINT (-6.979667 14.916473),150827,Mali,432,Africa,1,1,2023-07-28 00:00:00.000,2023-07-28 00:00:00.000,1,0,0,0,1,2,1,432,
488116,MLI-2023-1-15108-144,2023,true,Clear,1,11347,11347,Mali: Government,15108,15108,Government of Mali - JNIM,72,72,Government of Mali,6716,6716,JNIM,2,"""BBC Monitoring Africa,2023-08-24,Al-Qaeda belatedly claims ambush on Wagner, Mali army"";""@ocisse691,2023-08-23,#Mali """,BBC Monitoring Africa;@ocisse691,2023-08-24;2023-08-23,"Al-Qaeda belatedly claims ambush on Wagner, Mali army;#Mali",JNIM,5,Between Ber and Tombouctou,on the road between Timbuktu and Ber,Tombouctou region,Tombouctou cercle,16.787186,-2.786219,POINT (-2.786219 16.787186),153715,Mali,432,Africa,1,1,2023-08-02 00:00:00.000,2023-08-02 00:00:00.000,0,1,0,0,1,1,1,432,
484450,MLI-2023-1-15108-186,2023,true,Clear,1,11347,11347,Mali: Government,15108,15108,Government of Mali - JNIM,72,72,Government of Mali,6716,6716,JNIM,2,"""Agence France Presse,2023-08-07,17 dead in two Mali attacks over weekend, local governor says"";""HRW,2023-11-01, Mali: Islamist Armed Groups, Army Target Civilians""",Agence France Presse;HRW,2023-08-07;2023-11-01,"17 dead in two Mali attacks over weekend, local governor says; Mali: Islamist Armed Groups, Army Target Civilians",Bandiagara governorate; HRW citing eye witnesses,2,Bodio village,"Bandiagara region of central Mali

between Bodio village and Anakanda village",Mopti region,Bandiagara cercle,14.248200,-3.688290,POINT (-3.68829 14.2482),150113,Mali,432,Africa,1,2,2023-08-05 00:00:00.000,2023-08-06 00:00:00.000,0,0,0,2,2,2,2,432,
497638,MLI-2023-1-15108-187,2023,true,Clear,1,11347,11347,Mali: Government,15108,15108,Government of Mali - JNIM,72,72,Government of Mali,6716,6716,JNIM,1,"""HRW,2023-11-01, Mali: Islamist Armed Groups, Army Target Civilians""",HRW,2023-11-01,"Mali: Islamist Armed Groups, Army Target Civilians",HRW citing witnesses,2,Sambani village,"near Sambani, Timbuktu region",Tombouctou region,Niafunke cercle,15.750391,-4.547862,POINT (-4.5478621742418195 15.750391045360375),152271,Mali,432,Africa,1,1,2023-08-06 00:00:00.000,2023-08-06 00:00:00.000,0,0,0,17,17,17,17,432,
