name,type,lat,lon,nearby_conflict_date
MEDERSA DARCOURAN DIEMA [1er C],school,14.5423079,-9.1862276,2018-11-30 00:00:00.000
MEDERSA DARCOURANE DIEMA [2ème C],school,14.542768,-9.1871669,2018-11-30 00:00:00.000
SANDARE [2ème C].,school,14.7046,-10.3046167,2024-11-25 00:00:00.000
SANDARE I,school,14.7046,-10.3046167,2024-11-25 00:00:00.000
SEBABOUGOU,school,14.3726617,-8.2101417,2024-12-02 00:00:00.000
DIABALY [2ème C] A,school,14.6855876,-6.0218612,2008-05-06 00:00:00.000
DIABALY [2ème C] B,school,14.6855941,-6.0220074,2008-05-06 00:00:00.000
DIABALY I,school,14.6856499,-6.0217177,2008-05-06 00:00:00.000
DIABALY II,school,14.6856447,-6.0219042,2008-05-06 00:00:00.000
EP ANDA OUOLOGUEM,school,14.6933217,-6.0231635,2008-05-06 00:00:00.000
MASSARAZANA,school,14.6023892,-6.0429673,2021-10-30 00:00:00.000
NADIOUMA AL HOUDA [2ème C],school,14.6896103,-6.0221679,2008-05-06 00:00:00.000
NADIOUMA-AL-HOUDA [1er C],school,14.6896103,-6.0221679,2008-05-06 00:00:00.000
SOKOLO [1er C] A,school,14.7328715,-6.1221558,1995-01-06 00:00:00.000
SOKOLO [1er C] B,school,14.7328715,-6.1221558,1995-01-06 00:00:00.000
SOKOLO [2ème C],school,14.7328715,-6.1221558,1995-01-06 00:00:00.000
SONGHO,school,14.6356226,-5.8275218,2021-08-09 00:00:00.000
ZAHARATOU TAKIWA [1er C],school,14.685646,-6.0219846,2008-05-06 00:00:00.000
ZAHARATOU TAKIWA [2ème C],school,14.6918373,-6.0219404,2008-05-06 00:00:00.000
KASSOUM,school,15.8708833,-4.2431062,2024-10-21 00:00:00.000
CAFLI,school,14.5272505,-4.101424,2012-04-01 00:00:00.000
SIENSO,school,13.2281109,-4.8842072,2021-07-17 00:00:00.000
École Kakoli,school,14.4542434,-3.8285798,2020-06-02 00:00:00.000
BORKO [2ème C],school,14.95271,-3.3551,2020-03-15 00:00:00.000
MALEMANA,school,14.56357,-5.42682,2016-05-01 00:00:00.000
MEDERSA ANADIAH [1er C],school,14.5354657,-4.0950225,2012-04-01 00:00:00.000
MEDERSA ANADIAH [2ème C],school,14.5355456,-4.0950272,2012-04-01 00:00:00.000
MEDERSA ANCARDINE DJENNEDAGA [1er C],school,14.5355118,-4.0949675,2012-04-01 00:00:00.000
KATI Camp B,school,12.7406307,-8.0728806,2012-04-30 00:00:00.000
Noumorila C,school,12.7421142,-8.069982,2012-04-30 00:00:00.000
École fondamentale M.Cisse,school,12.5921792,-7.672113,2023-01-02 00:00:00.000
C.E.F.P.A.,school,13.6816077,-6.0718162,2022-11-09 00:00:00.000
Ecole,school,13.2888083,-4.5933414,2021-05-12 00:00:00.000
Diré,kindergarten,16.2606264,-3.3967825,2015-05-02 00:00:00.000
YANGASSO [1er C] II,school,13.07,-5.323,2022-08-04 00:00:00.000
Yangasso [1er C] I PC,school,13.0699876,-5.3229987,2022-08-04 00:00:00.000
Bodin 1er et 2e C,school,14.2499717,-3.6878189,2021-10-06 00:00:00.000
GROUPE SCOLAIRE SADIO TAMBOURA,school,14.9207,-4.59182,2018-06-18 00:00:00.000
KOUBI,school,14.9242505,-3.9528028,2020-03-27 00:00:00.000
MAMADOU SAMASSEKOU (B),school,16.2648606,-3.4000229,2015-05-02 00:00:00.000
Ecole de Doucombo,school,14.3571198,-3.6543193,2019-11-02 00:00:00.000
Diambacourou 2ème Cycle,school,14.8221207,-3.9696376,2024-02-02 00:00:00.000
Ecole de Tendely 1er cycle,school,14.0919332,-3.4184915,2019-09-08 00:00:00.000
AMBA,school,15.06815,-3.57429,2018-04-27 00:00:00.000
MOUGUI HAUT,school,15.0075907,-3.1570648,2023-01-01 00:00:00.000
IDRISSA SOW A,school,14.5355456,-4.0949823,2012-04-01 00:00:00.000
IDRISSA SOW B,school,14.53576,-4.09492,2012-04-01 00:00:00.000
BOCARI OUOLOGUEM B,school,14.52649,-4.09102,2012-04-01 00:00:00.000
DIONDIORI [1er C],school,14.61,-4.775,2018-03-29 00:00:00.000
FATOMA B,school,14.6101589,-4.0600586,2017-11-06 00:00:00.000
MEDERSA FAOUZOU WANADJAH,school,14.5355209,-4.0949695,2012-04-01 00:00:00.000
MEDERSA SAADA [1er C],school,14.5355203,-4.0950346,2012-04-01 00:00:00.000
TOUNKARI,school,14.5952316,-3.7398336,2024-10-25 00:00:00.000
TUOGOU,school,14.53,-3.268,2022-06-09 00:00:00.000
BAITOUL AMANATI [1er C],school,14.5850726,-3.0804429,2019-06-15 00:00:00.000
BAITOUL AMANATI [2ème C],school,14.5850369,-3.080506,2019-06-15 00:00:00.000
TOUPERE,school,14.75,-3.437,2018-05-15 00:00:00.000
Diambacourou 1 er Cycle,school,14.8249678,-3.9749325,2024-02-02 00:00:00.000
Medersa Ningari,school,14.66202,-3.2741214,2022-09-13 00:00:00.000
Ecole fondamentale Moussavel,school,14.6727191,-3.9985734,2018-05-16 00:00:00.000
Groupe Scolaire Yangasso,school,13.0746188,-5.3188044,2022-08-04 00:00:00.000
TARIKOU NANDIAHI,school,13.0775839,-5.3167365,2022-08-04 00:00:00.000
MEDERSA MANGAL PRIMAIRE,school,14.4502385,-4.9201847,1994-07-01 00:00:00.000
MEDERSA MADJIMAI BAHARAÏNI,school,14.4500909,-4.9200724,1994-07-01 00:00:00.000
LABBEZANGA P/C,school,14.9682855,0.7018689,2023-05-12 00:00:00.000
ANSONGO II C,school,15.6654421,0.5025094,2022-03-26 00:00:00.000
SOMO [2ème C],school,13.242868,-4.7746959,2019-01-11 00:00:00.000
SOMO École privée,school,13.2398285,-4.779454,2019-01-11 00:00:00.000
SOMO publique,school,13.2425654,-4.7752501,2019-01-11 00:00:00.000
École Professionnelle de Kasséla,college,12.5920352,-7.6746835,2023-01-02 00:00:00.000
MELGA,school,14.8975286,-11.7900081,2023-05-15 00:00:00.000
MELGA [2ème C],school,14.897299,-11.7904628,2023-05-15 00:00:00.000
Lycée Technique,school,16.7621285,-3.0079449,1991-12-12 00:00:00.000
